trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
194,V3-locked,2021-01-17 23:30:00+0100,2021-01-18 00:30:00+0100,1.0,Long,SL,-1.0,36482.45,35559.84,35559.84,922.61,2.5289,STRUCTURAL_SL
195,V3-locked,2021-01-18 10:30:00+0100,2021-01-18 12:00:00+0100,1.5,Long,SL,-0.64,36386.35,36120.35,36216.63,266.0,0.731,H1_EMA100
196,V3-locked,2021-01-30 23:30:00+0100,2021-01-31 01:30:00+0100,2.0,Long,SL,-1.0,34563.55,33966.4,33966.4,597.15,1.7277,STRUCTURAL_SL
197,V3-locked,2021-02-04 19:30:00+0100,2021-02-05 02:30:00+0100,7.0,Long,SL,-1.0,37376.27,36761.89,36761.89,614.38,1.6438,STRUCTURAL_SL
198,V3-locked,2021-02-05 08:00:00+0100,2021-02-07 17:00:00+0100,57.0,Long,TP,1.55,37374.39,37021.8,37921.11,352.59,0.9434,H1_EMA100
199,V3-locked,2021-02-08 09:00:00+0100,2021-02-08 11:00:00+0100,2.0,Long,SL,-1.0,39269.78,38874.63,38874.63,395.15,1.0062,STRUCTURAL_SL
200,V3-locked,2021-02-11 13:00:00+0100,2021-02-15 04:00:00+0100,87.0,Long,TP,1.14,46061.48,45351.0,46874.02,710.48,1.5425,H1_EMA100
201,V3-locked,2021-02-15 18:30:00+0100,2021-02-16 01:00:00+0100,6.5,Long,SL,-1.0,48678.78,47472.92,47472.92,1205.86,2.4772,STRUCTURAL_SL
202,V3-locked,2021-02-17 00:00:00+0100,2021-02-22 11:00:00+0100,131.0,Long,TP,7.46,49113.91,48355.8,54766.39,758.11,1.5436,H1_EMA100
203,V3-locked,2021-02-25 03:00:00+0100,2021-02-25 04:00:00+0100,1.0,Long,TP,0.06,50505.26,48028.18,50650.95,2477.08,4.9046,H1_EMA100
204,V3-locked,2021-02-25 13:00:00+0100,2021-02-25 16:00:00+0100,3.0,Long,TP,0.31,50299.0,48581.71,50830.88,1717.29,3.4142,H1_EMA100
205,V3-locked,2021-03-05 21:00:00+0100,2021-03-06 05:00:00+0100,8.0,Long,SL,-1.0,49285.76,48200.0,48200.0,1085.76,2.203,STRUCTURAL_SL
206,V3-locked,2021-03-06 23:00:00+0100,2021-03-15 09:00:00+0100,202.0,Long,TP,29.47,48577.22,48264.63,57789.76,312.59,0.6435,H1_EMA100
207,V3-locked,2021-03-17 20:30:00+0100,2021-03-19 02:00:00+0100,29.5,Long,SL,-0.33,57735.59,55162.6,56880.0,2572.99,4.4565,H1_EMA100
208,V3-locked,2021-03-19 08:30:00+0100,2021-03-19 09:00:00+0100,0.5,Long,SL,-1.0,58238.76,57603.92,57603.92,634.84,1.0901,STRUCTURAL_SL
209,V3-locked,2021-03-19 09:30:00+0100,2021-03-21 01:00:00+0100,39.5,Long,SL,-0.05,58132.94,57499.63,58102.28,633.31,1.0894,H1_EMA100
210,V3-locked,2021-03-22 08:30:00+0100,2021-03-22 09:30:00+0100,1.0,Long,SL,-1.0,57817.99,57315.22,57315.22,502.77,0.8696,STRUCTURAL_SL
211,V3-locked,2021-03-24 10:00:00+0100,2021-03-24 18:00:00+0100,8.0,Long,SL,-0.2,56280.4,53700.0,55762.89,2580.4,4.5849,H1_EMA100
