trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
398,EMA-Cross-H4F,13/12/2024,15:00,BTC,Long,SL,-1.0,0h,1099.0,STRUCTURAL_SL
399,EMA-Cross-H4F,15/12/2024,01:30,BTC,Long,TP,6.43,75h,355.0,H1_EMA100
400,EMA-Cross-H4F,05/01/2025,21:00,BTC,Long,SL,-1.0,42h,667.0,STRUCTURAL_SL
401,EMA-Cross-H4F,20/01/2025,08:00,BTC,Long,SL,-1.0,9h,4821.0,STRUCTURAL_SL
402,EMA-Cross-H4F,21/01/2025,14:30,BTC,Long,SL,-1.0,0h,876.0,STRUCTURAL_SL
403,EMA-Cross-H4F,21/01/2025,16:00,BTC,Long,SL,-0.11,25h,1106.0,H1_EMA100
404,EMA-Cross-H4F,23/01/2025,17:00,BTC,Long,SL,-1.0,3h,2486.0,STRUCTURAL_SL
405,EMA-Cross-H4F,25/01/2025,19:30,BTC,Long,SL,-1.0,14h,498.0,STRUCTURAL_SL
406,EMA-Cross-H4F,26/01/2025,13:30,BTC,Long,SL,-1.0,8h,218.0,STRUCTURAL_SL
407,EMA-Cross-H4F,31/01/2025,15:30,BTC,Long,SL,-1.0,2h,1094.0,STRUCTURAL_SL
408,EMA-Cross-H4F,07/03/2025,15:00,BTC,Long,SL,-1.0,0h,1750.0,STRUCTURAL_SL
409,EMA-Cross-H4F,22/03/2025,07:00,BTC,Long,SL,-1.0,1h,163.0,STRUCTURAL_SL
410,EMA-Cross-H4F,23/03/2025,07:30,BTC,Long,TP,12.25,81h,185.0,H1_EMA100
411,EMA-Cross-H4F,27/03/2025,04:30,BTC,Long,SL,-1.0,0h,149.0,STRUCTURAL_SL
412,EMA-Cross-H4F,27/03/2025,22:30,BTC,Long,SL,-1.0,2h,459.0,STRUCTURAL_SL
413,EMA-Cross-H4F,28/03/2025,01:00,BTC,Long,SL,-1.0,2h,422.0,STRUCTURAL_SL
414,EMA-Cross-H4F,14/04/2025,03:30,BTC,Long,SL,-1.0,12h,642.0,STRUCTURAL_SL
415,EMA-Cross-H4F,16/04/2025,16:30,BTC,Long,SL,-1.0,1h,1332.0,STRUCTURAL_SL
416,EMA-Cross-H4F,17/04/2025,06:30,BTC,Long,SL,-1.0,8h,717.0,STRUCTURAL_SL
