trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
132,EMA-Cross-H4F,22/04/2020,07:30,BTC,Long,TP,0.16,1h,83.97,H1_EMA100
133,EMA-Cross-H4F,01/05/2020,06:00,BTC,Long,SL,-1.0,10h,150.01,STRUCTURAL_SL
134,EMA-Cross-H4F,01/05/2020,22:30,BTC,Long,SL,-1.0,50h,166.72,STRUCTURAL_SL
135,EMA-Cross-H4F,04/05/2020,19:30,BTC,Long,TP,5.53,124h,121.79,H1_EMA100
136,EMA-Cross-H4F,17/05/2020,02:30,BTC,Long,SL,-1.0,6h,58.54,STRUCTURAL_SL
137,EMA-Cross-H4F,18/05/2020,23:30,BTC,Long,SL,-1.0,0h,69.5,STRUCTURAL_SL
138,EMA-Cross-H4F,19/05/2020,10:00,BTC,Long,SL,-1.0,29h,242.0,STRUCTURAL_SL
139,EMA-Cross-H4F,23/05/2020,22:00,BTC,Long,SL,-0.02,1h,61.99,H1_EMA100
140,EMA-Cross-H4F,30/05/2020,05:00,BTC,Long,TP,0.36,82h,184.13,H1_EMA100
141,EMA-Cross-H4F,04/06/2020,01:00,BTC,Long,SL,-1.0,8h,36.44,STRUCTURAL_SL
142,EMA-Cross-H4F,04/06/2020,13:30,BTC,Long,SL,-0.23,32h,286.32,H1_EMA100
143,EMA-Cross-H4F,07/06/2020,22:30,BTC,Long,SL,-1.0,9h,44.8,STRUCTURAL_SL
144,EMA-Cross-H4F,09/06/2020,15:00,BTC,Long,SL,-1.0,4h,31.75,STRUCTURAL_SL
145,EMA-Cross-H4F,11/07/2020,00:00,BTC,Long,SL,-1.0,9h,63.82,STRUCTURAL_SL
146,EMA-Cross-H4F,12/07/2020,01:30,BTC,Long,SL,-0.43,10h,25.9,H1_EMA100
147,EMA-Cross-H4F,12/07/2020,23:00,BTC,Long,SL,-1.0,20h,78.08,STRUCTURAL_SL
148,EMA-Cross-H4F,14/07/2020,20:00,BTC,Long,SL,-1.0,1h,26.61,STRUCTURAL_SL
149,EMA-Cross-H4F,24/07/2020,15:00,BTC,Long,TP,40.47,206h,40.33,H1_EMA100
150,EMA-Cross-H4F,03/08/2020,15:30,BTC,Long,SL,-1.0,6h,87.65,STRUCTURAL_SL
151,EMA-Cross-H4F,05/08/2020,06:30,BTC,Long,TP,3.38,59h,69.94,H1_EMA100
152,EMA-Cross-H4F,08/08/2020,11:30,BTC,Long,SL,-0.73,26h,196.92,H1_EMA100
153,EMA-Cross-H4F,10/08/2020,01:00,BTC,Long,SL,-1.0,9h,86.51,STRUCTURAL_SL
154,EMA-Cross-H4F,12/08/2020,15:30,BTC,Long,SL,-0.64,1h,50.08,H1_EMA100
155,EMA-Cross-H4F,13/08/2020,21:00,BTC,Long,TP,1.61,63h,93.67,H1_EMA100
156,EMA-Cross-H4F,16/08/2020,23:00,BTC,Long,SL,-1.0,1h,76.81,STRUCTURAL_SL
157,EMA-Cross-H4F,17/08/2020,10:00,BTC,Long,SL,-1.0,3h,51.77,STRUCTURAL_SL
158,EMA-Cross-H4F,20/08/2020,15:30,BTC,Long,TP,0.36,1h,75.4,H1_EMA100
159,EMA-Cross-H4F,22/08/2020,22:00,BTC,Long,SL,-0.03,1h,96.74,H1_EMA100
160,EMA-Cross-H4F,23/08/2020,16:30,BTC,Long,TP,0.08,1h,110.27,H1_EMA100
161,EMA-Cross-H4F,01/09/2020,05:00,BTC,Long,TP,0.22,28h,86.8,H1_EMA100
162,EMA-Cross-H4F,17/09/2020,21:30,BTC,Long,SL,-1.0,1h,14.57,STRUCTURAL_SL
163,EMA-Cross-H4F,19/09/2020,01:00,BTC,Long,SL,-1.0,35h,88.41,STRUCTURAL_SL
164,EMA-Cross-H4F,21/09/2020,04:30,BTC,Long,SL,-1.0,2h,64.58,STRUCTURAL_SL
165,EMA-Cross-H4F,30/09/2020,00:00,BTC,Long,SL,-1.0,3h,93.84,STRUCTURAL_SL
166,EMA-Cross-H4F,30/09/2020,17:30,BTC,Long,SL,-1.0,0h,41.37,STRUCTURAL_SL
167,EMA-Cross-H4F,01/10/2020,00:30,BTC,Long,SL,-1.0,15h,62.44,STRUCTURAL_SL
168,EMA-Cross-H4F,12/10/2020,15:00,BTC,Long,SL,-0.64,49h,232.74,H1_EMA100
169,EMA-Cross-H4F,18/10/2020,00:00,BTC,Long,TP,58.23,209h,25.49,H1_EMA100
170,EMA-Cross-H4F,27/10/2020,02:00,BTC,Long,SL,-1.0,0h,35.45,STRUCTURAL_SL
171,EMA-Cross-H4F,29/10/2020,16:30,BTC,Long,SL,-1.0,7h,201.51,STRUCTURAL_SL
172,EMA-Cross-H4F,30/10/2020,16:30,BTC,Long,SL,-0.2,64h,282.18,H1_EMA100
173,EMA-Cross-H4F,03/11/2020,14:30,BTC,Long,SL,-0.4,17h,216.36,H1_EMA100
174,EMA-Cross-H4F,08/11/2020,15:00,BTC,Long,SL,-1.0,23h,237.82,STRUCTURAL_SL
175,EMA-Cross-H4F,10/11/2020,05:00,BTC,Long,SL,-1.0,0h,64.74,STRUCTURAL_SL
176,EMA-Cross-H4F,10/11/2020,09:00,BTC,Long,SL,-1.0,2h,120.89,STRUCTURAL_SL
177,EMA-Cross-H4F,10/11/2020,23:30,BTC,Long,TP,7.33,82h,64.16,H1_EMA100
178,EMA-Cross-H4F,15/11/2020,09:00,BTC,Long,SL,-1.0,1h,114.68,STRUCTURAL_SL
179,EMA-Cross-H4F,16/11/2020,05:30,BTC,Long,TP,8.98,150h,196.9,H1_EMA100
180,EMA-Cross-H4F,22/11/2020,21:30,BTC,Long,SL,-1.0,1h,111.5,STRUCTURAL_SL
181,EMA-Cross-H4F,23/11/2020,08:30,BTC,Long,SL,-1.0,4h,205.46,STRUCTURAL_SL
182,EMA-Cross-H4F,24/11/2020,09:30,BTC,Long,SL,-0.32,38h,528.47,H1_EMA100
183,EMA-Cross-H4F,01/12/2020,15:00,BTC,Long,SL,-0.57,14h,1284.18,H1_EMA100
184,EMA-Cross-H4F,02/12/2020,11:30,BTC,Long,SL,-1.0,1h,299.43,STRUCTURAL_SL
185,EMA-Cross-H4F,02/12/2020,20:00,BTC,Long,SL,-1.0,5h,137.02,STRUCTURAL_SL
186,EMA-Cross-H4F,06/12/2020,18:00,BTC,Long,SL,-1.0,24h,109.86,STRUCTURAL_SL
187,EMA-Cross-H4F,08/12/2020,06:00,BTC,Long,SL,-1.0,0h,127.11,STRUCTURAL_SL
188,EMA-Cross-H4F,22/12/2020,15:00,BTC,Long,SL,-1.0,20h,336.01,STRUCTURAL_SL
189,EMA-Cross-H4F,24/12/2020,19:00,BTC,Long,TP,50.32,255h,153.5,H1_EMA100
190,EMA-Cross-H4F,05/01/2021,16:00,BTC,Long,TP,6.55,122h,988.19,H1_EMA100
191,EMA-Cross-H4F,12/01/2021,07:00,BTC,Long,TP,0.4,1h,1027.32,H1_EMA100
192,EMA-Cross-H4F,13/01/2021,11:30,BTC,Long,SL,-1.0,0h,669.76,STRUCTURAL_SL
193,EMA-Cross-H4F,16/01/2021,12:00,BTC,Long,SL,-1.0,0h,500.59,STRUCTURAL_SL
194,EMA-Cross-H4F,17/01/2021,22:30,BTC,Long,SL,-1.0,1h,922.61,STRUCTURAL_SL
195,EMA-Cross-H4F,18/01/2021,09:30,BTC,Long,SL,-0.64,1h,266.0,H1_EMA100
196,EMA-Cross-H4F,30/01/2021,22:30,BTC,Long,SL,-1.0,2h,597.15,STRUCTURAL_SL
197,EMA-Cross-H4F,04/02/2021,18:30,BTC,Long,SL,-1.0,7h,614.38,STRUCTURAL_SL
198,EMA-Cross-H4F,05/02/2021,07:00,BTC,Long,TP,1.55,57h,352.59,H1_EMA100
199,EMA-Cross-H4F,08/02/2021,08:00,BTC,Long,SL,-1.0,2h,395.15,STRUCTURAL_SL
200,EMA-Cross-H4F,11/02/2021,12:00,BTC,Long,TP,1.14,87h,710.48,H1_EMA100
201,EMA-Cross-H4F,15/02/2021,17:30,BTC,Long,SL,-1.0,6h,1205.86,STRUCTURAL_SL
202,EMA-Cross-H4F,16/02/2021,23:00,BTC,Long,TP,7.46,131h,758.11,H1_EMA100
203,EMA-Cross-H4F,25/02/2021,02:00,BTC,Long,TP,0.06,1h,2477.08,H1_EMA100
204,EMA-Cross-H4F,25/02/2021,12:00,BTC,Long,TP,0.31,3h,1717.29,H1_EMA100
205,EMA-Cross-H4F,05/03/2021,20:00,BTC,Long,SL,-1.0,8h,1085.76,STRUCTURAL_SL
206,EMA-Cross-H4F,06/03/2021,22:00,BTC,Long,TP,29.47,202h,312.59,H1_EMA100
207,EMA-Cross-H4F,17/03/2021,19:30,BTC,Long,SL,-0.33,29h,2572.99,H1_EMA100
208,EMA-Cross-H4F,19/03/2021,07:30,BTC,Long,SL,-1.0,0h,634.84,STRUCTURAL_SL
209,EMA-Cross-H4F,19/03/2021,08:30,BTC,Long,SL,-0.05,39h,633.31,H1_EMA100
210,EMA-Cross-H4F,22/03/2021,07:30,BTC,Long,SL,-1.0,1h,502.77,STRUCTURAL_SL
211,EMA-Cross-H4F,24/03/2021,09:00,BTC,Long,SL,-0.2,8h,2580.4,H1_EMA100
212,EMA-Cross-H4F,29/03/2021,09:00,BTC,Long,TP,0.85,129h,1275.03,H1_EMA100
213,EMA-Cross-H4F,05/04/2021,14:30,BTC,Long,SL,-1.0,23h,889.85,STRUCTURAL_SL
214,EMA-Cross-H4F,08/04/2021,13:30,BTC,Long,TP,3.71,183h,1134.0,H1_EMA100
215,EMA-Cross-H4F,17/04/2021,04:30,BTC,Long,SL,-1.0,1h,322.98,STRUCTURAL_SL
216,EMA-Cross-H4F,03/05/2021,02:00,BTC,Long,SL,-1.0,22h,1830.83,STRUCTURAL_SL
217,EMA-Cross-H4F,05/05/2021,13:30,BTC,Long,SL,-0.17,29h,903.0,H1_EMA100
218,EMA-Cross-H4F,07/05/2021,13:30,BTC,Long,SL,-0.78,47h,932.14,H1_EMA100
219,EMA-Cross-H4F,10/05/2021,01:30,BTC,Long,SL,-1.0,8h,673.08,STRUCTURAL_SL
220,EMA-Cross-H4F,11/05/2021,20:30,BTC,Long,SL,-0.45,1h,477.57,H1_EMA100
221,EMA-Cross-H4F,12/05/2021,14:00,BTC,Long,SL,-0.65,1h,1060.1,H1_EMA100
222,EMA-Cross-H4F,27/07/2021,12:30,BTC,Long,TP,0.76,71h,852.73,H1_EMA100
223,EMA-Cross-H4F,30/07/2021,21:30,BTC,Long,SL,-0.33,49h,1814.47,H1_EMA100
224,EMA-Cross-H4F,04/08/2021,14:30,BTC,Long,SL,-0.01,16h,1589.35,H1_EMA100
225,EMA-Cross-H4F,05/08/2021,17:30,BTC,Long,TP,2.78,162h,1640.1,H1_EMA100
226,EMA-Cross-H4F,13/08/2021,08:30,BTC,Long,SL,-0.17,47h,1843.79,H1_EMA100
227,EMA-Cross-H4F,15/08/2021,23:00,BTC,Long,SL,-0.68,15h,1140.15,H1_EMA100
228,EMA-Cross-H4F,17/08/2021,12:30,BTC,Long,SL,-1.0,0h,426.12,STRUCTURAL_SL
229,EMA-Cross-H4F,18/08/2021,18:00,BTC,Long,SL,-1.0,0h,220.68,STRUCTURAL_SL
230,EMA-Cross-H4F,19/08/2021,16:00,BTC,Long,TP,2.03,118h,1388.04,H1_EMA100
231,EMA-Cross-H4F,25/08/2021,18:30,BTC,Long,SL,-1.0,8h,376.97,STRUCTURAL_SL
232,EMA-Cross-H4F,29/08/2021,20:00,BTC,Long,SL,-1.0,1h,110.8,STRUCTURAL_SL
233,EMA-Cross-H4F,30/08/2021,21:00,BTC,Long,SL,-1.0,0h,272.06,STRUCTURAL_SL
234,EMA-Cross-H4F,01/09/2021,11:00,BTC,Long,TP,0.46,1h,425.42,H1_EMA100
235,EMA-Cross-H4F,03/09/2021,05:00,BTC,Long,TP,0.83,101h,1390.35,H1_EMA100
236,EMA-Cross-H4F,17/09/2021,04:00,BTC,Long,SL,-1.0,3h,184.48,STRUCTURAL_SL
237,EMA-Cross-H4F,18/09/2021,04:30,BTC,Long,SL,-0.73,31h,1071.43,H1_EMA100
238,EMA-Cross-H4F,04/10/2021,17:00,BTC,Long,TP,4.11,194h,1698.99,H1_EMA100
239,EMA-Cross-H4F,13/10/2021,18:00,BTC,Long,TP,2.95,99h,851.33,H1_EMA100
240,EMA-Cross-H4F,18/10/2021,00:30,BTC,Long,SL,-1.0,9h,787.93,STRUCTURAL_SL
241,EMA-Cross-H4F,25/10/2021,01:00,BTC,Long,TP,0.1,38h,1163.4,H1_EMA100
242,EMA-Cross-H4F,28/10/2021,10:00,BTC,Long,SL,-1.0,8h,661.92,STRUCTURAL_SL
243,EMA-Cross-H4F,30/10/2021,13:30,BTC,Long,SL,-1.0,0h,395.0,STRUCTURAL_SL
