trade_id,strategy,open_madrid,close_madrid,duration_hours,direction,result,rr,entry_price,sl_price,exit_price,sl_size,sl_pct,exit_reason
44,EMS-r2-h4ema100,2018-05-09 16:00:00+0200,2018-05-10 19:30:00+0200,27.5,Long,SL,-1.0,9276.0,9100.0,9100.0,176.0,1.8974,STRUCTURAL_SL
45,EMS-r2-h4ema100,2018-07-04 16:00:00+0200,2018-07-05 03:00:00+0200,11.0,Long,SL,-0.72,6713.5,6501.0,6560.14,212.5,3.1653,H1_EMA100
46,EMS-r2-h4ema100,2018-07-06 19:30:00+0200,2018-07-06 20:00:00+0200,0.5,Long,SL,-1.0,6570.03,6537.24,6537.24,32.79,0.4991,STRUCTURAL_SL
47,EMS-r2-h4ema100,2018-07-08 01:30:00+0200,2018-07-10 02:00:00+0200,48.5,Long,SL,-0.44,6775.68,6520.43,6662.12,255.25,3.7671,H1_EMA100
48,EMS-r2-h4ema100,2018-07-21 19:30:00+0200,2018-07-22 02:00:00+0200,6.5,Long,SL,-1.0,7406.75,7350.0,7350.0,56.75,0.7662,STRUCTURAL_SL
49,EMS-r2-h4ema100,2018-07-26 01:00:00+0200,2018-07-26 22:30:00+0200,21.5,Long,SL,-1.0,8270.86,8124.0,8124.0,146.86,1.7756,STRUCTURAL_SL
50,EMS-r2-h4ema100,2018-07-27 20:00:00+0200,2018-07-28 16:30:00+0200,20.5,Long,SL,-1.0,8177.93,8111.93,8111.93,66.0,0.8071,STRUCTURAL_SL
51,EMS-r2-h4ema100,2018-07-29 16:00:00+0200,2018-07-30 02:00:00+0200,10.0,Long,SL,-1.0,8203.01,8115.0,8115.0,88.01,1.0729,STRUCTURAL_SL
52,EMS-r2-h4ema100,2018-08-26 16:00:00+0200,2018-08-26 18:00:00+0200,2.0,Long,SL,-1.0,6723.09,6670.01,6670.01,53.08,0.7895,STRUCTURAL_SL
53,EMS-r2-h4ema100,2018-08-30 00:00:00+0200,2018-08-30 01:00:00+0200,1.0,Long,SL,-1.0,7049.8,7029.08,7029.08,20.72,0.2939,STRUCTURAL_SL
54,EMS-r2-h4ema100,2018-08-31 07:00:00+0200,2018-08-31 10:30:00+0200,3.5,Long,SL,-1.0,7010.11,6955.44,6955.44,54.67,0.7799,STRUCTURAL_SL
55,EMS-r2-h4ema100,2018-09-22 20:30:00+0200,2018-09-23 18:00:00+0200,21.5,Long,SL,-0.49,6730.0,6640.0,6685.94,90.0,1.3373,H1_EMA100
56,EMS-r2-h4ema100,2018-09-30 00:00:00+0200,2018-09-30 02:00:00+0200,2.0,Long,SL,-1.0,6598.97,6577.55,6577.55,21.42,0.3246,STRUCTURAL_SL
57,EMS-r2-h4ema100,2018-09-30 12:30:00+0200,2018-09-30 22:00:00+0200,9.5,Long,SL,-1.0,6608.33,6575.52,6575.52,32.81,0.4965,STRUCTURAL_SL
58,EMS-r2-h4ema100,2018-10-02 05:30:00+0200,2018-10-02 11:00:00+0200,5.5,Long,SL,-0.41,6614.51,6584.17,6602.06,30.34,0.4587,H1_EMA100
59,EMS-r2-h4ema100,2018-10-04 04:00:00+0200,2018-10-05 11:00:00+0200,31.0,Long,SL,-0.26,6593.09,6504.0,6570.0,89.09,1.3513,H1_EMA100
60,EMS-r2-h4ema100,2018-10-08 01:00:00+0200,2018-10-09 15:00:00+0200,38.0,Long,TP,3.62,6592.0,6580.38,6634.1,11.62,0.1763,H1_EMA100
61,EMS-r2-h4ema100,2018-10-10 00:00:00+0200,2018-10-10 02:00:00+0200,2.0,Long,SL,-1.0,6658.99,6645.43,6645.43,13.56,0.2036,STRUCTURAL_SL
62,EMS-r2-h4ema100,2018-10-10 23:30:00+0200,2018-10-11 01:00:00+0200,1.5,Long,SL,-0.17,6626.0,6582.0,6618.51,44.0,0.6641,H1_EMA100
63,EMS-r2-h4ema100,2018-10-17 04:00:00+0200,2018-10-17 12:00:00+0200,8.0,Long,SL,-1.0,6754.0,6705.39,6705.39,48.61,0.7197,STRUCTURAL_SL
64,EMS-r2-h4ema100,2018-10-18 05:30:00+0200,2018-10-18 07:30:00+0200,2.0,Long,SL,-1.0,6777.99,6728.49,6728.49,49.5,0.7303,STRUCTURAL_SL
65,EMS-r2-h4ema100,2018-10-20 16:00:00+0200,2018-10-20 17:00:00+0200,1.0,Long,SL,-0.66,6608.01,6580.31,6589.69,27.7,0.4192,H1_EMA100
66,EMS-r2-h4ema100,2018-10-22 08:30:00+0200,2018-10-22 09:30:00+0200,1.0,Long,SL,-1.0,6635.07,6618.0,6618.0,17.07,0.2573,STRUCTURAL_SL
67,EMS-r2-h4ema100,2018-10-24 07:00:00+0200,2018-10-24 18:00:00+0200,11.0,Long,SL,-0.78,6619.97,6570.15,6581.0,49.82,0.7526,H1_EMA100
68,EMS-r2-h4ema100,2018-12-23 01:00:00+0100,2018-12-23 17:00:00+0100,16.0,Long,SL,-0.32,3948.91,3819.0,3907.51,129.91,3.2898,H1_EMA100
69,EMS-r2-h4ema100,2018-12-28 17:30:00+0100,2018-12-30 01:00:00+0100,31.5,Long,SL,-0.47,3802.37,3576.51,3695.32,225.86,5.94,H1_EMA100
70,EMS-r2-h4ema100,2018-12-30 18:30:00+0100,2018-12-30 20:30:00+0100,2.0,Long,SL,-1.0,3781.98,3742.3,3742.3,39.68,1.0492,STRUCTURAL_SL
71,EMS-r2-h4ema100,2019-01-05 01:00:00+0100,2019-01-05 11:00:00+0100,10.0,Long,SL,-1.0,3790.09,3778.51,3778.51,11.58,0.3055,STRUCTURAL_SL
72,EMS-r2-h4ema100,2019-01-06 14:00:00+0100,2019-01-09 16:00:00+0100,74.0,Long,TP,7.93,3791.12,3770.93,3951.22,20.19,0.5326,H1_EMA100
73,EMS-r2-h4ema100,2019-01-10 04:00:00+0100,2019-01-10 07:00:00+0100,3.0,Long,SL,-1.0,3981.0,3961.88,3961.88,19.12,0.4803,STRUCTURAL_SL
74,EMS-r2-h4ema100,2019-02-10 22:00:00+0100,2019-02-11 05:00:00+0100,7.0,Long,SL,-0.68,3639.37,3615.53,3623.11,23.84,0.6551,H1_EMA100
75,EMS-r2-h4ema100,2019-02-11 17:00:00+0100,2019-02-11 17:30:00+0100,0.5,Long,SL,-1.0,3642.99,3623.5,3623.5,19.49,0.535,STRUCTURAL_SL
76,EMS-r2-h4ema100,2019-02-11 20:30:00+0100,2019-02-11 22:30:00+0100,2.0,Long,SL,-1.0,3642.63,3632.35,3632.35,10.28,0.2822,STRUCTURAL_SL
77,EMS-r2-h4ema100,2019-02-12 20:30:00+0100,2019-02-12 22:30:00+0100,2.0,Long,SL,-1.0,3641.27,3625.5,3625.5,15.77,0.4331,STRUCTURAL_SL
